date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:12	5930/5930	---M-Z	200	added ('OK')	application/xml	etag:%22172a-4f29fc59d8800-gzip%22	http://schemas.opengis.net/sensorML/2.0/aggregate_process.xsd	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/aggregate_process.xsd	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:12	809/809	---M--	200	added ('OK')	text/html	etag:%22329-4f29fc59d8800%22	http://schemas.opengis.net/sensorML/2.0/configuration.sch	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/configuration.html	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:13	7797/7797	---M-Z	200	added ('OK')	application/xml	etag:%221e75-4f29fc59d8800-gzip%22	http://schemas.opengis.net/sensorML/2.0/configuration.xsd	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/configuration.xsd	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:13	2963/2963	---M--	200	added ('OK')	text/html	etag:%22b93-4f29fc59d8800%22	http://schemas.opengis.net/sensorML/2.0/core.sch	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/core.html	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:14	38606/38606	---M-Z	200	added ('OK')	application/xml	etag:%2296ce-4f29fc59d8800-gzip%22	http://schemas.opengis.net/sensorML/2.0/core.xsd	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/core.xsd	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:14	3680/3680	---M--	200	added ('OK')	text/html	etag:%22e60-4f29fc59d8800%22	http://schemas.opengis.net/sensorML/2.0/physical_component.sch	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/physical_component.html	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:14	12019/12019	---M-Z	200	added ('OK')	application/xml	etag:%222ef3-4f29fc59d8800-gzip%22	http://schemas.opengis.net/sensorML/2.0/physical_component.xsd	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/physical_component.xsd	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:15	2196/2196	---M--	200	added ('OK')	text/html	etag:%22894-4f29fc59d8800%22	http://schemas.opengis.net/sensorML/2.0/physical_system.sch	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/physical_system.html	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:15	2915/2915	---M-Z	200	added ('OK')	application/xml	etag:%22b63-4f29fc59d8800-gzip%22	http://schemas.opengis.net/sensorML/2.0/physical_system.xsd	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/physical_system.xsd	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:16	953/953	---M-Z	200	added ('OK')	application/xml	etag:%223b9-4f29fc59d8800-gzip%22	http://schemas.opengis.net/sensorML/2.0/sensorML.xsd	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/sensorML.xsd	(from http://schemas.opengis.net/sensorML/2.0/)
